"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Neto P.A.B.; Da Silva J.D.O.","Neto, Pedro Alves Barbosa (57209779821); Da Silva, Judson Daniel Oliveira (57209779029)","57209779821; 57209779029","Information Regimes, governmental agents and information typologies: Monitoring the implementation of 182 ILO Convention; [Regimes de informação, agentes governamentais e tipologias de informação: O monitoramento da implementação da Convenção 182 da Organização Internacional do Trabalho]","2019","Perspectivas em Ciencia da Informacao","24","1","","103","121","18","0","10.1590/1981-5344/3536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068643023&doi=10.1590%2f1981-5344%2f3536&partnerID=40&md5=f63a33ea8a1abdfa467647774174896a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85068643023"
"Bezerra R.A.; Oliveira G.T.A.; Bagni U.V.; Barbalho E.R.; da Rocha I.M.G.; de Araújo F.R.; Fayh A.P.T.","Bezerra, Ricardo Andrade (57208029700); Oliveira, Gledson Tavares Amorim (57219612840); Bagni, Ursula Viana (26424505100); Barbalho, Érica Roberta (57210391368); da Rocha, Ilanna Marques Gomes (57196401702); de Araújo, Fábio Resende (56556261300); Fayh, Ana Paula Trussardi (16642769800)","57208029700; 57219612840; 26424505100; 57210391368; 57196401702; 56556261300; 16642769800","Sedentary Behavior and Physical Activity of Schoolchildren from a Low-income Region in Brazil: Associations with Maternal Variables","2021","Journal of Human Growth and Development","31","2","","209","216","7","2","10.36311/jhgd.v31.12230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112794705&doi=10.36311%2fjhgd.v31.12230&partnerID=40&md5=ef9d2cf83d7be74e3f3dd8f03e566c69","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85112794705"
"Paulino D.S.; Bendassolli P.F.","Paulino, Daniele de Souza (57201797834); Bendassolli, Pedro F. (40761084000)","57201797834; 40761084000","Meaning of work and job searching for young neets; [Significado do trabalho e busca de emprego para jovens nem-nem]; [Significado del trabajo y de la búsqueda de empleo para jóvenes ninis]","2018","Avances en Psicologia Latinoamericana","36","2","","373","388","15","4","10.12804/revistas.urosario.edu.co/apl/a.5112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046122741&doi=10.12804%2frevistas.urosario.edu.co%2fapl%2fa.5112&partnerID=40&md5=26c9c8aa706303f648273dda6b65c0cc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85046122741"
"Rossi-Santos M.R.","Rossi-Santos, Marcos R. (6506066345)","6506066345","Whale-watching noise effects on the behavior of humpback whales (Megaptera novaeangliae) in the Brazilian breeding ground","2016","Proceedings of Meetings on Acoustics","27","1","040003","","","","11","10.1121/2.0000271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011086381&doi=10.1121%2f2.0000271&partnerID=40&md5=2d85c65370bb8ebb5dcde2c7c46514c3","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85011086381"
"Paiva Neto A.; Lopes da Silva E.A.; Ferreira L.V.F.; Araújo J.F.R.","Paiva Neto, Aureo (57217094309); Lopes da Silva, Elaine Aparecida (57217094043); Ferreira, Lissa Valéria Fernandes (57217095636); Araújo, José Felipe Ribeiro (57217094565)","57217094309; 57217094043; 57217095636; 57217094565","Discovering the sustainable hotel brand personality on TripAdvisor","2020","Journal of Hospitality and Tourism Technology","11","2","","241","254","13","15","10.1108/JHTT-05-2019-0076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086171237&doi=10.1108%2fJHTT-05-2019-0076&partnerID=40&md5=7f6d24cae6f939a50a2fc7b824f98a44","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85086171237"
"Neves Bezerra de Melo F.L.; Sampaio R.M.B.; Sampaio L.M.B.","Neves Bezerra de Melo, Felipe Luiz (57209199451); Sampaio, Raquel Menezes Bezerra (23098449500); Sampaio, Luciano Menezes Bezerra (24077343500)","57209199451; 23098449500; 24077343500","Efficiency, productivity gains, and the size of Brazilian supermarkets","2018","International Journal of Production Economics","197","","","99","111","12","13","10.1016/j.ijpe.2017.12.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040311004&doi=10.1016%2fj.ijpe.2017.12.016&partnerID=40&md5=79fcbb787c6ca1d6b106b1ec41bc5183","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85040311004"
"Leite Pacheco J.M.; Neuma de Castro Dantas T.; Salazar Aramayo J.L.; dos Santos A.","Leite Pacheco, José Marcos (57388533700); Neuma de Castro Dantas, Teresa (57260661900); Salazar Aramayo, Jesús Leodaly (55391520500); dos Santos, Adriano (23470580600)","57388533700; 57260661900; 55391520500; 23470580600","A new sustainability analysis technique for the design of oil production facilities","2022","Cleaner Engineering and Technology","6","","100370","","","","1","10.1016/j.clet.2021.100370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121911572&doi=10.1016%2fj.clet.2021.100370&partnerID=40&md5=22e6f6288dcf1d163d34bfd4733984b6","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85121911572"
"Trindade J.R.; Maracajá K.F.B.; Cicciú B.; Filho R.B.L.; Valduga V.","Trindade, Jaiany Rocha (58175178500); Maracajá, Kettrin Farias Bem (55583944900); Cicciú, Bruno (57943483300); Filho, Rômulo Benício Lucena (58967603200); Valduga, Vander (57192554569)","58175178500; 55583944900; 57943483300; 58967603200; 57192554569","Theoretical discussion about the concepts of sustainability in wine tourism with the bibliometrix; [Discussão teórica sobre os conceitos de sustentabilidade no enoturismo através do bibliometrix]; [Discusión teórica sobre los conceptos de sostenibilidad em el enoturismo a través de la bibliometrix]","2022","Brazilian Journal of Tourism Research","16","","e-2644","","","","0","10.7784/rbtur.v16.2644","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189355094&doi=10.7784%2frbtur.v16.2644&partnerID=40&md5=f02b95df4070a9a023d4208941990e3a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189355094"
"Da Costa R.R.A.","Da Costa, Ruan Rodrigo Araújo (56029594800)","56029594800","The relationship between the performance and legal form of microfinance institutions","2017","Revista Contabilidade e Financas","28","75","","377","389","12","3","10.1590/1808-057x201703660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055766565&doi=10.1590%2f1808-057x201703660&partnerID=40&md5=7b1184935c4d5ff5a85f6a659d6dd390","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85055766565"
"de-Góes K.R.; Montefusco C.","de-Góes, Karolayne Ribeiro (57457871300); Montefusco, Carla (57457606000)","57457871300; 57457606000","brief history of the implementation of empresa brasileira de serviços Hospitalares in Hospital universitário onofre lopes and its impacts for the world of work; [Breve histórico da implantação da Empresa Brasileira de Serviços Hospitalares no Hospital Universitário Onofre Lopes e seus impactos no mundo do trabalho]","2021","Revista Brasileira de Medicina do Trabalho","19","3","","382","388","6","0","10.47626/1679-4435-2020-609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124842554&doi=10.47626%2f1679-4435-2020-609&partnerID=40&md5=6052019cc1e412f8475a48373c344635","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85124842554"
"Neto E.D.C.; Dantas M.M.C.; Maia R.D.S.; Filho I.A.; Maia E.M.C.","Neto, Ewerton Dantas Cortês (57215589100); Dantas, Maihana Maira Cruz (57190425686); Maia, Rodrigo da Silva (56362465700); Filho, Irami Araújo (12807830000); Maia, Eulália Maria Chaves (23985614000)","57215589100; 57190425686; 56362465700; 12807830000; 23985614000","The resilience of adolescent participants in social projects for sport; [Resiliência em adolescentes participantes de projetos sociais esportivos]","2020","Ciencia e Saude Coletiva","25","3","","901","908","7","5","10.1590/1413-81232020253.18362018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081273286&doi=10.1590%2f1413-81232020253.18362018&partnerID=40&md5=9e0a56d6133903a1148ebd72e9383996","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85081273286"
"de Araújo D.M.; Dos Santos E.V.; Martínez-Huitle C.A.; De Battisti A.","de Araújo, Danyelle Medeiros (55225187900); Dos Santos, Elisama V. (57213395188); Martínez-Huitle, Carlos A. (6507655813); De Battisti, Achille (7004109174)","55225187900; 57213395188; 6507655813; 7004109174","Achieving Electrochemical-Sustainable-Based Solutions for Monitoring and Treating Hydroxychloroquine in Real Water Matrix","2022","Applied Sciences (Switzerland)","12","2","699","","","","11","10.3390/app12020699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122734458&doi=10.3390%2fapp12020699&partnerID=40&md5=ce24b352f958453b4f787be9c5381315","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85122734458"
